scenario,method,seed,total_cost,service_level,scri_viol,VaR95,TVaR95
S3,"sS(s=50,S=65)",42,4232.698,0.5610094780319762,1.0,1187.5574000000001,1220.584
S3,"sS(s=50,S=70)",42,4179.923000000001,0.5866912729296963,0.98,1177.8852,1211.3370000000002
S3,"sS(s=50,S=75)",42,4140.853,0.6086009913834352,1.0,1170.4594,1205.299
S3,"sS(s=50,S=80)",42,4107.964,0.6297397916887819,0.94,1161.3084,1195.084
S3,"sS(s=50,S=85)",42,4086.633,0.6476130375477672,0.9,1161.3011999999999,1197.557
S3,"sS(s=50,S=90)",42,4070.5190000000002,0.6638259706609001,0.88,1155.6936,1190.633
S3,"sS(s=50,S=95)",42,4069.7610000000004,0.6777957937245113,0.82,1161.9724,1201.527
S3,"sS(s=55,S=100)",42,4066.948,0.6926086000933067,0.84,1158.8336,1198.993
S3,"sS(s=55,S=60)",42,4294.474,0.5336250687525101,0.98,1200.2494,1233.084
S3,"sS(s=55,S=65)",42,4228.046,0.562550386501477,0.96,1186.9224000000002,1220.191
S3,"sS(s=55,S=70)",42,4175.256,0.5884401469623752,0.96,1176.128,1209.483
S3,"sS(s=55,S=75)",42,4133.214,0.6118952281910085,0.98,1167.8486,1202.644
S3,"sS(s=55,S=80)",42,4099.585,0.632804216400177,0.92,1157.9308,1191.715
S3,"sS(s=55,S=85)",42,4076.5660000000003,0.6510957988804623,0.86,1153.2382,1188.565
S3,"sS(s=55,S=90)",42,4060.815,0.6672790009692396,0.86,1154.3814,1190.218
S3,"sS(s=55,S=95)",42,4059.5510000000004,0.6813150717254614,0.82,1158.1308,1197.0990000000002
S3,"sS(s=60,S=100)",42,4046.1760000000004,0.69883452340534,0.8,1154.0188,1194.271
S3,"sS(s=60,S=65)",42,4226.383000000001,0.5631531554601903,0.96,1187.0406,1220.519
S3,"sS(s=60,S=70)",42,4170.985,0.5898635638824112,0.96,1174.9638,1208.7220000000002
S3,"sS(s=60,S=75)",42,4128.252,0.6136119237316371,0.98,1164.1717999999998,1197.8190000000002
S3,"sS(s=60,S=80)",42,4094.975,0.6343842313132962,0.92,1155.3888,1189.0330000000001
S3,"sS(s=60,S=85)",42,4067.541,0.6543880259103667,0.86,1149.326,1183.473
S3,"sS(s=60,S=90)",42,4054.53,0.6702413874838704,0.86,1151.7197999999999,1187.5690000000002
S3,"sS(s=60,S=95)",42,4052.1010000000006,0.6841180439607399,0.82,1154.1345999999999,1192.223
S3,"sS(s=65,S=100)",42,4041.889,0.7010118694181392,0.78,1152.8084,1192.111
S3,"sS(s=65,S=70)",42,4168.967000000001,0.5905496765494438,0.96,1174.226,1207.886
S3,"sS(s=65,S=75)",42,4123.27,0.6151372480185682,0.92,1162.6516000000001,1196.083
S3,"sS(s=65,S=80)",42,4087.4770000000003,0.6371898742526736,0.9,1153.2730000000001,1186.895
S3,"sS(s=65,S=85)",42,4063.252,0.6562538922534854,0.86,1148.9996,1182.788
S3,"sS(s=65,S=90)",42,4046.1940000000004,0.6730964086010044,0.86,1146.0558,1180.909
S3,"sS(s=65,S=95)",42,4040.06,0.6882109999276357,0.8,1148.2692,1185.34
S3,"sS(s=70,S=100)",42,4032.324,0.7045550590864714,0.78,1147.4278,1186.481
S3,"sS(s=70,S=75)",42,4120.706,0.6160309499354102,0.92,1162.0762,1195.659
S3,"sS(s=70,S=80)",42,4083.369,0.638682245085772,0.88,1152.2896,1185.575
S3,"sS(s=70,S=85)",42,4059.9130000000005,0.6576321142006711,0.86,1147.5711999999999,1181.159
S3,"sS(s=70,S=90)",42,4040.759,0.6752409249611577,0.84,1145.2205999999999,1179.904
S3,"sS(s=70,S=95)",42,4034.9060000000004,0.6903032958265388,0.8,1146.0798,1182.8590000000002
S3,"sS(s=75,S=100)",42,4029.18,0.7055577470161539,0.8,1146.123,1184.157
S3,"sS(s=75,S=80)",42,4082.239,0.6391314691083992,0.88,1151.2998,1184.248
S3,"sS(s=75,S=85)",42,4055.8010000000004,0.6590428248241483,0.86,1145.9376000000002,1179.3770000000002
S3,"sS(s=75,S=90)",42,4034.884,0.6772047103037476,0.84,1144.1382,1178.5810000000001
S3,"sS(s=75,S=95)",42,4031.528,0.6919265297833259,0.8,1143.6224,1180.313
S3,"sS(s=80,S=100)",42,4024.027,0.7078009218069826,0.76,1143.0534,1180.226
S3,"sS(s=80,S=85)",42,4053.465,0.6598593016129709,0.86,1145.2064,1178.529
S3,"sS(s=80,S=90)",42,4034.14,0.6777395778716269,0.84,1143.5382,1177.787
S3,"sS(s=80,S=95)",42,4026.7090000000003,0.6934795315460903,0.8,1143.6174,1180.046
S3,"sS(s=85,S=100)",42,4019.6,0.709376735452295,0.78,1140.8698,1177.855
S3,"sS(s=85,S=90)",42,4032.5710000000004,0.6783559402661554,0.84,1143.0539999999999,1177.28
S3,"sS(s=85,S=95)",42,4023.875,0.6945111210901217,0.8,1143.2678,1179.978
S3,"sS(s=90,S=100)",42,4019.1620000000003,0.7099511002515905,0.78,1140.5464,1177.357
S3,"sS(s=90,S=95)",42,4021.258,0.695392873310158,0.8,1142.3596,1178.78
