scenario,method,seed,episode,service_level,total_cost,scri_viol,VaR95,TVaR95
S1,qlearning,0,97,0.17432321575061527,5047.0,3,1660.8,1766.0
S1,qlearning,0,98,0.16763848396501457,6314.0,5,2226.3999999999996,2451.0
S1,qlearning,0,99,0.11884550084889643,6096.0,0,1851.0,1990.0
S1,qlearning,0,100,0.1368421052631579,6164.0,3,1568.8,1614.0
S1,qlearning,0,101,0.14056939501779359,6833.2,5,1974.0,1975.0
S1,qlearning,0,102,0.13568023469013568,5909.5,1,1557.4,1563.5
S1,qlearning,0,103,0.13992537313432835,5920.333333333333,3,1811.0666666666666,1916.3333333333333
S1,qlearning,0,104,0.11986863711001643,6126.0,7,1636.0,1648.0
S1,qlearning,0,105,0.11221945137157108,6527.0,0,2108.0,2215.0
S1,qlearning,0,106,0.1510574018126888,5537.0,0,1479.3999999999999,1514.0
S1,qlearning,0,107,0.12119226989846053,6302.0,0,1700.6,1750.0
S1,qlearning,0,108,0.13584117032392895,7505.5,4,2041.5,2048.0
S1,qlearning,0,109,0.12947853848882582,6247.0,0,2078.2,2144.0
S1,qlearning,0,110,0.12594458438287154,5667.0,8,1569.6,1630.0
S1,qlearning,0,111,0.15313653136531366,5553.5,1,1648.6,1690.5
S1,qlearning,0,112,0.14492753623188406,5280.0,0,1581.0,1675.0
S1,qlearning,0,113,0.12447462010992563,7203.0,0,2480.2,2750.0
S1,qlearning,0,114,0.16917293233082706,5554.0,0,1768.8,1841.0
S1,qlearning,0,115,0.13434378229417843,5443.0,3,1457.0,1465.0
S1,qlearning,0,116,0.14333333333333334,7336.0,0,2618.6,2807.5
S1,qlearning,0,117,0.1482979440512302,6607.5,0,1809.2,1850.5
S1,qlearning,0,118,0.14968045745038683,6023.0,0,1694.6,1738.0
S1,qlearning,0,119,0.14937898623699228,7157.5,3,2381.7999999999997,2571.5
S1,qlearning,0,120,0.13842746400885936,5451.0,3,1716.8,1827.0
S1,qlearning,0,121,0.17292281737663434,4973.9,0,1518.0,1524.5
S1,qlearning,0,122,0.13732394366197184,6147.0,4,2249.2,2466.0
S1,qlearning,0,123,0.16087751371115175,5556.0,1,1630.6,1639.0
S1,qlearning,0,124,0.10539046302695232,6774.0,0,2397.7999999999997,2576.0
S1,qlearning,0,125,0.13622974963181148,5968.0,5,1817.1999999999998,1913.0
S1,qlearning,0,126,0.15172654342518313,6842.1,0,2120.7999999999997,2210.0
S1,qlearning,0,127,0.11627906976744186,5859.0,4,1676.8,1751.0
S1,qlearning,0,128,0.13930348258706468,6287.0,1,1873.8,1952.0
S1,qlearning,0,129,0.16710976072920622,5840.5,1,1903.3,1963.0
