service_level,total_cost,scri_viol,VaR95,TVaR95,scenario,method,seed,episode,c_h,c_b,c_o,c_disruption,lambda_scri,scri_threshold,scri_mode,s,S
0.1462421325435024,5024.0,0,1374.6,1403.0,S1,"sS(s=0,S=15)",42,3,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.16321044546851,4820.0,2,1365.8,1403.0,S1,"sS(s=0,S=15)",42,4,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.14647137150466044,5610.0,4,1368.6,1379.0,S1,"sS(s=0,S=15)",42,5,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.1594090202177294,4786.0,2,1307.0,1325.0,S1,"sS(s=0,S=15)",42,6,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.1431678144255165,5155.0,1,1297.3999999999999,1327.0,S1,"sS(s=0,S=15)",42,7,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.14996342355523043,5125.0,3,1554.8,1589.0,S1,"sS(s=0,S=15)",42,8,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.13921901528013583,5482.0,0,1428.2,1441.0,S1,"sS(s=0,S=15)",42,9,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.15793251974156497,5149.0,2,1276.2,1293.0,S1,"sS(s=0,S=15)",42,10,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.1527001862197393,4962.0,0,1443.8,1487.0,S1,"sS(s=0,S=15)",42,11,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.15433181339880744,5234.0,0,1572.2,1609.0,S1,"sS(s=0,S=15)",42,12,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.14342774146695716,5195.0,3,1347.8,1363.0,S1,"sS(s=0,S=15)",42,13,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.15672782874617738,4884.0,3,1330.2,1343.0,S1,"sS(s=0,S=15)",42,14,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.15669515669515668,5223.0,4,1459.8,1474.0,S1,"sS(s=0,S=15)",42,15,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.15881913303437967,4969.0,0,1446.0,1465.0,S1,"sS(s=0,S=15)",42,16,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.1443661971830986,5332.0,3,1457.0,1498.0,S1,"sS(s=0,S=15)",42,17,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.14727011494252873,5225.0,3,1390.3999999999999,1430.0,S1,"sS(s=0,S=15)",42,18,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.1685823754789272,4797.0,2,1281.8,1323.0,S1,"sS(s=0,S=15)",42,19,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.1467430207587688,5215.0,1,1489.6,1531.0,S1,"sS(s=0,S=15)",42,20,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.14510071696824856,5462.9,4,1506.14,1525.0,S1,"sS(s=0,S=15)",42,21,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.12995245641838352,5937.0,1,1642.8,1699.0,S1,"sS(s=0,S=15)",42,22,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.13361462728551335,5400.0,3,1437.4,1447.0,S1,"sS(s=0,S=15)",42,23,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.1518942101501072,5178.0,1,1351.4,1379.0,S1,"sS(s=0,S=15)",42,24,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.14891380518570427,5270.0,0,1433.0,1477.0,S1,"sS(s=0,S=15)",42,25,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.1532137518684604,5059.0,5,1354.6,1371.0,S1,"sS(s=0,S=15)",42,26,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.13920733704552898,5788.0,6,1681.8,1699.0,S1,"sS(s=0,S=15)",42,27,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.16511266511266512,4710.0,0,1366.6,1435.0,S1,"sS(s=0,S=15)",42,28,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.16479536399855124,5024.0,0,1612.1999999999998,1753.0,S1,"sS(s=0,S=15)",42,29,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.15146115466856735,5174.0,0,1325.8,1341.0,S1,"sS(s=0,S=15)",42,30,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.1338529312097594,5524.0,0,1456.6,1483.0,S1,"sS(s=0,S=15)",42,31,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.14066951566951566,5212.2,0,1295.4,1299.0,S1,"sS(s=0,S=15)",42,32,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.15084621044885946,5051.0,2,1403.02,1431.0,S1,"sS(s=0,S=15)",42,33,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.145985401459854,4904.5,4,1484.0,1589.0,S1,"sS(s=0,S=15)",42,34,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.15909972836631742,4746.0,0,1244.2,1275.0,S1,"sS(s=0,S=15)",42,35,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.1497107859816264,5455.0,2,1456.6,1478.0,S1,"sS(s=0,S=15)",42,36,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.15254845656855706,5204.0,4,1444.0,1454.0,S1,"sS(s=0,S=15)",42,37,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.14265831593597772,5340.0,0,1559.8,1629.0,S1,"sS(s=0,S=15)",42,38,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.16096169519152403,4585.0,3,1324.6,1337.0,S1,"sS(s=0,S=15)",42,39,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.15720858895705522,4868.0,2,1377.8,1387.0,S1,"sS(s=0,S=15)",42,40,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.15097690941385436,5192.0,0,1311.4,1333.0,S1,"sS(s=0,S=15)",42,41,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.13950323239197004,5520.0,2,1593.0,1657.0,S1,"sS(s=0,S=15)",42,42,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.160503860219423,4589.0,1,1067.8,1068.0,S1,"sS(s=0,S=15)",42,43,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.14886164623467601,5272.0,0,1307.0,1315.0,S1,"sS(s=0,S=15)",42,44,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.1555977229601518,4862.0,0,1259.8,1279.0,S1,"sS(s=0,S=15)",42,45,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.1358515573227303,5628.0,0,1653.8,1741.0,S1,"sS(s=0,S=15)",42,46,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.13437057991513437,5343.0,1,1457.6,1477.0,S1,"sS(s=0,S=15)",42,47,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.17254901960784313,4632.0,0,1144.6,1145.0,S1,"sS(s=0,S=15)",42,48,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.14758819294456443,5353.0,9,1403.6,1404.0,S1,"sS(s=0,S=15)",42,49,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.20113851992409867,4847.0,4,1209.8,1222.0,S1,"sS(s=0,S=20)",42,0,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.2002184200946487,4941.0,0,1282.8,1298.0,S1,"sS(s=0,S=20)",42,1,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.18434782608695652,5282.0,2,1498.0,1555.0,S1,"sS(s=0,S=20)",42,2,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.18881895594224363,4929.0,0,1347.6,1378.0,S1,"sS(s=0,S=20)",42,3,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.21121351766513058,4705.0,2,1332.8,1368.0,S1,"sS(s=0,S=20)",42,4,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.18308921438082557,5505.1,4,1332.08,1334.1,S1,"sS(s=0,S=20)",42,5,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.20606531881804044,4661.6,2,1270.0,1290.0,S1,"sS(s=0,S=20)",42,6,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.18484958318231243,5060.0,1,1270.3999999999999,1302.0,S1,"sS(s=0,S=20)",42,7,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.1938551572787125,5020.0,3,1515.8,1544.0,S1,"sS(s=0,S=20)",42,8,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.1799660441426146,5377.0,0,1379.2,1386.0,S1,"sS(s=0,S=20)",42,9,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.1974156496769562,5044.7,2,1240.2,1248.0,S1,"sS(s=0,S=20)",42,10,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.1973929236499069,4857.0,0,1410.8,1452.0,S1,"sS(s=0,S=20)",42,11,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.19992984917572781,5109.0,0,1551.2,1594.0,S1,"sS(s=0,S=20)",42,12,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
